,id,Brown dwarf,Constellation,Right ascension,Declination,Distance,Mass,Radius,Discovery year,star_names,distance,mass,radius
173,173,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
174,174,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
175,175,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Regulus,0077,3.8,3.1
176,176,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
177,177,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
178,178,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
179,179,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,70.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
180,180,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
181,181,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
182,182,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
183,183,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Adhara,0430,12.5,14
184,184,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
185,185,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
186,186,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
187,187,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
188,188,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
189,189,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,51.0,0.049638576,0.1007077399999999,0.0,Shaula,0700,14.5,8.8
190,190,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Shaula,0700,14.5,8.8
191,191,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Shaula,0700,14.5,8.8
192,192,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
193,193,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
194,194,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
195,195,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
196,196,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
197,197,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
198,198,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
199,199,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,163.0,0.01909176,0.16647606,0.0,Castor,0052,2.8,2.4
200,200,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
201,201,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
202,202,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
203,203,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
204,204,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
205,205,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
206,206,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
207,207,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Gacrux,0088,1.5,84
208,208,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Bellatrix,0240,8.6,5.8
209,209,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,130.0,0.01909176,0.16544843,0.0,Bellatrix,0240,8.6,5.8
210,210,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Bellatrix,0240,8.6,5.8
211,211,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Bellatrix,0240,8.6,5.8
212,212,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Bellatrix,0240,8.6,5.8
213,213,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Bellatrix,0240,8.6,5.8
214,214,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Bellatrix,0240,8.6,5.8
215,215,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Bellatrix,0240,8.6,5.8
216,216,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Elnath,0130,5.0,4.2
217,217,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Elnath,0130,5.0,4.2
218,218,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Elnath,0130,5.0,4.2
219,219,SDSS J015141.69+124429.6,0,1h 51m 41.55s,12° 44′ 30″,70.0,0.044865636,0.0996801099999999,0.0,Elnath,0130,5.0,4.2
250,250,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alnair,0101,4.0,3.4
251,251,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alnair,0101,4.0,3.4
252,252,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alnair,0101,4.0,3.4
253,253,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alnair,0101,4.0,3.4
254,254,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alnair,0101,4.0,3.4
255,255,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alnair,0101,4.0,3.4
256,256,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alioth,0081,2.9,4.2
257,257,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alioth,0081,2.9,4.2
258,258,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alioth,0081,2.9,4.2
259,259,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,111.0,0.044865636,0.0996801099999999,0.0,Alioth,0081,2.9,4.2
260,260,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alioth,0081,2.9,4.2
261,261,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alioth,0081,2.9,4.2
262,262,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alioth,0081,2.9,4.2
263,263,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alioth,0081,2.9,4.2
264,264,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alnitak,01050,33,20
265,265,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alnitak,01050,33,20
266,266,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alnitak,01050,33,20
267,267,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alnitak,01050,33,20
268,268,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alnitak,01050,33,20
269,269,2MASS J02103857-3015313,0,2h 10m 38.57s,−30° 15′ 31.3″,101.0,0.01431882,0.15722739,0.0,Alnitak,01050,33,20
270,270,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Alnitak,01050,33,20
271,271,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Alnitak,01050,33,20
272,272,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
273,273,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
274,274,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
275,275,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
276,276,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
277,277,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
278,278,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
279,279,2MASS J02340093-6442068,0,2h 34m 0.93s,−64° 42′ 6.8″,155.0,0.01909176,0.16647606,0.0,Dubhe,0120,4.25,30
280,280,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
281,281,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
282,282,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
283,283,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
284,284,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
285,285,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
286,286,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
287,287,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Mirfak,0590,8.5,68
288,288,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Wezen,"1,600",17,200
289,289,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,152.0,0.025773876,0.1448958299999999,0.0,Wezen,"1,600",17,200
290,290,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Wezen,"1,600",17,200
291,291,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Wezen,"1,600",17,200
292,292,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Wezen,"1,600",17,200
293,293,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Wezen,"1,600",17,200
294,294,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Wezen,"1,600",17,200
295,295,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Wezen,"1,600",17,200
296,296,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Sargas,0270,5.7,26
297,297,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Sargas,0270,5.7,26
298,298,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Sargas,0270,5.7,26
299,299,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,35.0,0.031501404,0.1017353699999999,2002.0,Sargas,0270,5.7,26
300,300,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Sargas,0270,5.7,26
301,301,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Sargas,0270,5.7,26
302,302,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Sargas,0270,5.7,26
303,303,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Sargas,0270,5.7,26
304,304,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Kaus Australis,0140,3.5,6.8
305,305,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Kaus Australis,0140,3.5,6.8
306,306,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Kaus Australis,0140,3.5,6.8
307,307,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Kaus Australis,0140,3.5,6.8
308,308,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Kaus Australis,0140,3.5,6.8
309,309,LP 771-21,0,2h 48m 41s,−16° 51′ 21.6″,53.0,0.074457864,0.11098404,0.0,Kaus Australis,0140,3.5,6.8
320,320,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
321,321,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
322,322,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
323,323,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
324,324,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
325,325,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
326,326,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
327,327,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Alkaid,0104,6.1,3.4
328,328,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
329,329,2MASS J02535980+3206373,0,2h 53m 59.8s,32° 6′ 37.3″,184.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
330,330,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
331,331,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
332,332,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
333,333,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
334,334,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
335,335,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Menkalinan,081,2.39,2.77
336,336,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Atria,0390,7,92
337,337,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Atria,0390,7,92
338,338,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Atria,0390,7,92
339,339,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,24.0,0.06204822,0.1952496999999999,0.0,Atria,0390,7,92
340,340,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Atria,0390,7,92
341,341,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Atria,0390,7,92
342,342,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Atria,0390,7,92
343,343,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Atria,0390,7,92
344,344,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Alhena,0109,2.8,3.3
345,345,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Alhena,0109,2.8,3.3
346,346,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Alhena,0109,2.8,3.3
347,347,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Alhena,0109,2.8,3.3
348,348,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Alhena,0109,2.8,3.3
349,349,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,16.2,0.07636704,0.0996801099999999,2006.0,Alhena,0109,2.8,3.3
350,350,2MASS J03185403-3421292 [de],Fornax,3h 18m 54.03s,−34° 21′ 29.2″,45.0,0.046774812,0.0996801099999999,2008.0,Alhena,0109,2.8,3.3
